id	expected_valid	now_unix_seconds	tolerance_seconds	header	raw_body_base64	verification_secrets_base64	signing_secret_base64	signed_raw_body_base64	signed_suffix_base64	failure_kind
valid-compact-json	true	1700000100	300	t=1700000000,s=4ee5dc4c43b9d27aa16b9e46a59ea8700d0b3b90d9da6139a302aa7a55cbdaa1	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		none
valid-utf8-whitespace	true	1700000000	300	t=1700000000,s=0fa8dbc23f4532dd2fbb37bba1d902826cb6831b50f198d827f9bf3945e5802c	ewogICJpZCI6ICJldnRf5Lit5paHIiwKICAidHlwZSI6ICJ3aGF0c2FwcC5tZXNzYWdlLnVwZGF0ZWQiLAogICJub3RlIjogImNhZsOpIOKYlSIKfQo=	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	ewogICJpZCI6ICJldnRf5Lit5paHIiwKICAidHlwZSI6ICJ3aGF0c2FwcC5tZXNzYWdlLnVwZGF0ZWQiLAogICJub3RlIjogImNhZsOpIOKYlSIKfQo=		none
valid-secondary-candidate	true	1700000050	300	t=1700000000,s=52b57aa863700b50a2c1afe17f5d95e631c0de78f0f07174273dd70b4b903d87	eyJpZCI6ImV2dF9yb3RhdGUiLCJ0eXBlIjoiY29udGFjdC5jcmVhdGVkIiwiYXBpVmVyc2lvbiI6InYyIn0=	d2hzZWNfd3JvbmdfYjc2NzhjMmU=,d2hzZWNfcHJldmlvdXNfNzNkNDJlNjQ=	d2hzZWNfcHJldmlvdXNfNzNkNDJlNjQ=	eyJpZCI6ImV2dF9yb3RhdGUiLCJ0eXBlIjoiY29udGFjdC5jcmVhdGVkIiwiYXBpVmVyc2lvbiI6InYyIn0=		none
invalid-wrong-secret	false	1700000000	300	t=1700000000,s=4ee5dc4c43b9d27aa16b9e46a59ea8700d0b3b90d9da6139a302aa7a55cbdaa1	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfd3JvbmdfYjc2NzhjMmU=	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		wrong-secret
invalid-stale-timestamp	false	1700000301	300	t=1700000000,s=4ee5dc4c43b9d27aa16b9e46a59ea8700d0b3b90d9da6139a302aa7a55cbdaa1	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		stale-timestamp
invalid-future-timestamp	false	1699999699	300	t=1700000000,s=4ee5dc4c43b9d27aa16b9e46a59ea8700d0b3b90d9da6139a302aa7a55cbdaa1	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		future-timestamp
invalid-tampered-body	false	1700000000	300	t=1700000000,s=4ee5dc4c43b9d27aa16b9e46a59ea8700d0b3b90d9da6139a302aa7a55cbdaa1	eyJpZCI6ImV2dF8wMiIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		tampered-body
invalid-json-reserialized	false	1700000000	300	t=1700000000,s=36d04f9f1ed20dcf56af41be4f114135d53ae163fef2d9f6964daa3faf0b0b1e	eyJpZCI6ImV2dF9qc29uIiwidHlwZSI6IndoYXRzYXBwLm1lc3NhZ2UudXBkYXRlZCJ9	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	ewogICJpZCI6ICJldnRfanNvbiIsCiAgInR5cGUiOiAid2hhdHNhcHAubWVzc2FnZS51cGRhdGVkIgp9		json-reserialized
invalid-trailing-delimiter	false	1700000000	300	t=1700000000,s=b8bb058363c7202026937cf1dc107fe813050630980f23093578f9cbb674a5f6	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	Lg==	trailing-delimiter
invalid-uppercase-signature	false	1700000000	300	t=1700000000,s=4EE5DC4C43B9D27AA16B9E46A59EA8700D0B3B90D9DA6139A302AA7A55CBDAA1	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	d2hzZWNfdGVzdF82YzJmMGY2YzNhNmQ0YjE2	eyJpZCI6ImV2dF8wMSIsInR5cGUiOiJ3aGF0c2FwcC5pbmJvdW5kX21lc3NhZ2UucmVjZWl2ZWQiLCJhcGlWZXJzaW9uIjoidjIifQ==		malformed-header
